State,Abbreviation,Is Abortion Legal?
1,AL,No
2,AK,Yes
3,AZ,Yes
4,AR,No
5,CA,Yes
6,CO,Yes
7,CT,Yes
8,DE,Yes
9,FL,Yes
10,GA,Yes
11,HI,Yes
12,ID,No
13,IL,Yes
14,IN,No
15,IA,Yes
16,KS,Yes
17,KY,No
18,LA,No
19,ME,Yes
20,MD,Yes
21,MA,Yes
22,MI,Yes
23,MN,Yes
24,MS,No
25,MO,No
26,MT,Yes
27,NE,Yes
28,NV,Yes
29,NH,Yes
30,NJ,Yes
31,NM,Yes
32,NY,Yes
33,NC,Yes
34,ND,No
35,OH,Yes
36,OK,No
37,OR,Yes
38,PA,Yes
39,RI,Yes
40,SC,Yes
41,SD,No
42,TN,No
43,TX,No
44,UT,Yes
45,VT,Yes
46,VA,Yes
47,WA,Yes
48,WV,No
49,WI,Yes
50,WY,Yes
